Current Board,Optimal Move
002201100,002221100
002201101,002201121
002201102,102201102
002201110,002201112
002201112,202201112
002201120,102201120
002201121,202201121
002201201,012201201
002201210,002201211
002201211,022201211
002202011,102202011
002202101,102202101
002202110,102202110
002202111,202202111
002210000,002211000
002210001,002212001
002210010,202210010
002210011,202210011
002210012,102210012
002210021,012210021
002210100,002210120
002210101,202210101
002210102,102210102
002210110,202210110
002210112,202210112
002210120,012210120
002210121,002212121
002210201,012210201
002210210,102210210
002210211,022210211
002211000,002211020
002211001,202211001
002211002,102211002
002211010,022211010
002211012,202211012
002211020,012211020
002211021,202211021
002211100,202211100
002211102,002211122
002211112,022211112
002211120,002211122
002211121,202211121
002211122,102211122
002211200,102211200
002211201,022211201
002211210,022211210
002211211,202211211
002211212,102211212
002211221,012211221
002212001,012212001
002212010,102212010
002212011,202212011
002212100,102212100
002212101,002212121
002212110,202212110
002212111,202212111
002212112,102212112
002212121,012212121
002212211,102212211
002220011,102220011
002220101,102220101
002220110,102220110
002220111,202220111
002221001,102221001
002221010,102221010
002221011,202221011
002221100,102221100
002221101,202221101
002221110,202221110
002221111,202221111
002221112,102221112
002221121,102221121
002221211,102221211
002222111,102222111
010000000,210000000
010000002,010200002
010000012,010020012
010000020,210000020
010000021,210000021
010000022,010010022
010000102,012000102
010000120,210000120
010000122,010200122
010000200,010002200
010000201,210000201
010000202,010100202
010000210,010020210
010000212,210000212
010000220,010010220
010000221,010002221
010001002,010001202
010001020,210001020
010001022,210001022
010001122,210001122
010001200,210001200
010001202,210001202
010001212,010021212
010001220,210001220
010001221,012001221
010001222,110001222
010002000,210002000
010002001,010022001
010002002,010102002
010002010,010022010
010002012,210002012
010002020,010102020
010002021,210002021
010002100,010022100
010002102,210002102
010002112,012002112
010002120,210002120
010002121,210002121
010002122,110002122
010002200,010102200
010002201,010002221
010002210,210002210
010002211,010022211
010002212,110002212
010002221,010102221
010010002,010010022
010010020,210010020
010010022,210010022
010010122,012010122
010010200,010010220
010010202,210010202
010010212,210010212
010010220,210010220
010010221,210010221
010010222,110010222
010011022,010011222
010011202,010011222
010011220,010011222
010011222,210011222
010012000,010012020
010012002,210012002
010012012,210012012
010012020,210012020
010012021,210012021
010012022,010112022
010012102,012012102
010012120,012012120
010012122,210012122
010012200,210012200
010012201,210012201
010012202,110012202
010012210,210012210
010012212,210012212
010012220,010112220
010012221,012012221
010020000,010020020
010020001,210020001
010020002,010020012
010020010,210020010
010020012,012020012
010020020,010120020
010020021,210020021
010020100,210020100
010020102,012020102
010020112,210020112
010020120,012020120
010020121,210020121
010020122,010021122
010020200,010020210
010020201,210020201
010020210,210020210
010020211,012020211
010020212,010120212
010020221,010120221
010021000,210021000
010021002,012021002
010021012,210021012
010021020,010221020
010021021,012021021
010021022,010121022
010021102,210021102
010021120,210021120
010021122,012021122
010021200,210021200
010021201,012021201
010021202,010121202
010021210,012021210
010021212,010221212
010021220,010121220
010021221,210021221
010022000,010022010
010022001,210022001
010022010,210022010
010022011,010222011
010022012,010122012
010022021,010022121
010022100,210022100
010022101,010222101
010022102,010022112
010022110,010222110
010022112,210022112
010022120,010022121
010022121,210022121
010022201,010022211
010022210,010022211
010022211,210022211
010100002,012100002
010100020,210100020
010100022,210100022
010100122,210100122
010100200,010100202
010100202,210100202
010100212,010120212
010100220,210100220
010100221,210100221
010100222,110100222
010101022,010101222
010101202,010101222
010101220,010101222
010101222,210101222
010102000,210102000
010102002,210102002
010102012,012102012
010102020,210102020
010102021,210102021
010102022,010112022
010102102,012102102
010102120,210102120
010102122,210102122
010102200,210102200
010102201,210102201
010102202,110102202
010102210,010122210
010102212,210102212
010102220,010112220
010102221,210102221
010110022,010110222
010110202,010110222
010110220,010110222
010110222,210110222
010111222,210111222
010112002,012112002
010112020,010112022
010112022,210112022
010112122,012112122
010112200,010112220
010112202,210112202
010112212,210112212
010112220,210112220
010112221,210112221
010112222,110112222
010120000,210120000
010120002,012120002
010120012,210120012
010120020,010122020
010120021,210120021
010120022,010121022
010120102,210120102
010120120,210120120
010120122,012120122
010120200,210120200
010120201,012120201
010120202,010121202
010120210,012120210
010120212,010122212
010120220,010121220
010120221,210120221
010121002,210121002
010121020,010121220
010121022,012121022
010121122,210121122
010121200,012121200
010121202,210121202
010121212,210121212
010121220,210121220
010121221,012121221
010121222,110121222
010122000,010122020
010122001,210122001
010122002,010122012
010122010,012122010
010122012,010122212
010122020,010122021
010122021,210122021
010122100,210122100
010122102,010122122
010122112,210122112
010122120,210122120
010122121,210122121
010122122,011122122
010122200,010122210
010122201,210122201
010122210,210122210
010122211,012122211
010122212,110122212
010122221,110122221
010200000,012200000
010200001,010220001
010200002,010201002
010200010,010220010
010200012,210200012
010200020,010210020
010200021,012200021
010200100,010220100
010200102,010200122
010200112,010220112
010200120,210200120
010200121,012200121
010200122,010201122
010200200,010201200
010200201,012200201
010200210,012200210
010200211,210200211
010200212,110200212
010200221,110200221
010201000,012201000
010201002,012201002
010201012,010221012
010201020,012201020
010201021,012201021
010201022,010211022
010201102,012201102
010201120,012201120
010201122,012201122
010201200,012201200
010201201,210201201
010201202,110201202
010201210,210201210
010201212,012201212
010201220,010211220
010201221,012201221
010202000,010202100
010202001,210202001
010202010,210202010
010202011,010222011
010202012,110202012
010202021,010202121
010202100,210202100
010202101,010222101
010202102,110202102
010202110,010222110
010202112,210202112
010202120,010202121
010202121,210202121
010202201,110202201
010202210,110202210
010202211,012202211
010210000,010210020
010210002,210210002
010210012,210210012
010210020,012210020
010210021,210210021
010210022,010211022
010210102,210210102
010210120,012210120
010210122,210210122
010210200,012210200
010210201,210210201
010210202,110210202
010210210,210210210
010210212,012210212
010210220,010211220
010210221,012210221
010211002,010211022
010211020,010211220
010211022,210211022
010211122,012211122
010211200,210211200
010211202,012211202
010211212,210211212
010211220,012211220
010211221,210211221
010211222,110211222
010212000,010212020
010212001,210212001
010212002,110212002
010212010,210212010
010212012,210212012
010212020,110212020
010212021,012212021
010212100,210212100
010212102,210212102
010212112,210212112
010212120,210212120
010212121,210212121
010212122,110212122
010212200,110212200
010212201,012212201
010212210,012212210
010212211,210212211
010212212,110212212
010212221,011212221
010220000,010220010
010220001,210220001
010220010,210220010
010220011,010222011
010220012,010220112
010220021,010220121
010220100,210220100
010220101,010222101
010220102,010220112
010220110,010222110
010220112,012220112
010220120,010220121
010220121,210220121
010220201,010220211
010220210,010221210
010220211,210220211
010221000,010221020
010221001,012221001
010221002,010221102
010221010,210221010
010221012,012221012
010221020,010221120
010221021,210221021
010221100,012221100
010221102,012221102
010221112,210221112
010221120,012221120
010221121,012221121
010221122,110221122
010221200,010221210
010221201,010221221
010221210,010221212
010221211,210221211
010221212,110221212
010221221,110221221
010222001,110222001
010222010,110222010
010222011,210222011
010222100,110222100
010222101,210222101
010222110,210222110
010222111,210222111
010222112,110222112
010222121,110222121
010222211,110222211
011000002,211000002
011000020,211000020
011000022,211000022
011000122,211000122
011000200,211000200
